DE,FE,BA,NO
0.1443762926360232,-0.0141031784262642,,
0.1656602926360232,-0.0395795420626279,,
0.1740069593026899,-0.0327995420626279,,
0.1589829593026899,-0.011021360244446,,
0.1272656259693566,0.0384931852100993,,
0.0796896259693565,0.0426022761191902,,
0.0237669593026899,0.0288368215737357,,
-0.02380904069731,-0.0243759056989915,,
-0.0747237073639767,-0.0527286329717188,,
-0.11645704069731,-0.0356759056989915,,
-0.1494263740306434,-0.0206777238808097,,
-0.15902504069731,0.0150713670282811,,
-0.1460877073639767,0.0370550033919175,,
-0.11520504069731,0.0736259124828266,,
-0.0655423740306434,0.113689548846463,,
-0.0171317073639767,0.1169768215737357,,
0.0408776259693565,0.0810222761191902,,
0.0934616259693565,-0.0186231784262642,,
0.1385336259693566,-0.1203231784262642,,
0.1769282926360232,-0.1889449966080824,,
0.1915349593026899,-0.1731249966080824,,
0.1877789593026899,-0.0971068147899006,,
0.1614869593026899,-0.0270468147899006,,
0.1214229593026899,0.0475331852100993,,
0.0750989593026899,0.0633531852100993,,
0.0220976259693565,0.0781459124828266,,
-0.0246437073639767,0.077940457937372,,
-0.0809837073639767,0.0590386397555539,,
-0.1318983740306434,0.0491768215737357,,
-0.1682063740306434,0.0021277306646448,,
-0.1932463740306434,7.318521009937184e-05,,
-0.1899077073639767,0.014249548846463,,
-0.1773877073639767,0.0709550033919175,,
-0.1519303740306434,0.1360840943010084,,
-0.10644104069731,0.1323859124828266,,
-0.0505183740306434,0.1235513670282811,,
0.0183416259693565,0.0713659124828266,,
0.0746816259693565,0.0625313670282811,,
0.1093202926360232,0.0582168215737357,,
0.1268482926360232,0.0444513670282811,,
0.1235096259693565,0.0534913670282811,,
0.1164149593026899,0.0019222761191902,,
0.0959656259693566,0.0158931852100993,,
0.0629962926360232,0.028220457937372,,
0.0233496259693565,0.0317131852100993,,
-0.0317383740306434,0.0415750033919175,,
-0.0722197073639767,-0.0028031784262642,,
-0.1018503740306434,-0.0120486329717188,,
-0.1118663740306434,-0.0208831784262642,,
-0.10143304069731,0.0058259124828266,,
-0.0918343740306434,0.0489713670282811,,
-0.0647077073639767,0.0652022761191902,,
-0.0304863740306434,0.0637640943010084,,
0.0158376259693565,0.0089077306646448,,
0.0721776259693565,-0.0270468147899006,,
0.1122416259693565,-0.0414286329717188,,
0.1410376259693566,-0.0354704511535369,,
