csv_path,ok,n_rev_total,n_seg,ppr,revs_per_seg,reason
../第3问_CNN/cleaned/48kHz_Normal_data/N_0.csv,1,152.0,29.0,360.0,10.0,
../第3问_CNN/cleaned/48kHz_Normal_data/N_1_(1772rpm).csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/48kHz_Normal_data/N_2_(1750rpm).csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/48kHz_Normal_data/N_3.csv,1,229.0,44.0,360.0,10.0,
../第3问_CNN/cleaned/目标域/A.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/B.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/C.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/D.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/E.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/F.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/G.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/H.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/I.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/J.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/K.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/L.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/M.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/N.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/O.csv,0,,,,,no_channel
../第3问_CNN/cleaned/目标域/P.csv,0,,,,,no_channel
../第3问_CNN/cleaned/12kHz_DE_data/B/0007/B007_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0007/B007_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0007/B007_2.csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0007/B007_3.csv,1,230.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0014/B014_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0014/B014_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0014/B014_2.csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0014/B014_3.csv,1,230.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0021/B021_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0021/B021_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0021/B021_2.csv,1,234.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0021/B021_3.csv,1,231.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0028/B028_0_(1797rpm).csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0028/B028_1_(1772rpm).csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0028/B028_2_(1750rpm).csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/B/0028/B028_3_(1730rpm).csv,1,230.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0007/IR007_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0007/IR007_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0007/IR007_2.csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0007/IR007_3.csv,1,230.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0014/IR014_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0014/IR014_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0014/IR014_2.csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0014/IR014_3.csv,1,231.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0021/IR021_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0021/IR021_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0021/IR021_2.csv,1,234.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0021/IR021_3.csv,1,231.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0028/IR028_0_(1797rpm).csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0028/IR028_1_(1772rpm).csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0028/IR028_2_(1750rpm).csv,1,233.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/IR/0028/IR028_3_(1730rpm).csv,1,230.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/OR/Centered/0007/OR007@6_0.csv,1,239.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/OR/Centered/0007/OR007@6_1.csv,1,236.0,46.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/OR/Centered/0007/OR007@6_2.csv,1,234.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/OR/Centered/0007/OR007@6_3.csv,1,231.0,45.0,360.0,10.0,
../第3问_CNN/cleaned/12kHz_DE_data/OR/Centered/0014/OR014@6_0.csv,1,239.0,46.0,360.0,10.0,
